sku,category,reviews_count,,sku,category,average_rating,,,
G54899,Shoes,491,,G54899,Shoes,4.6,,,
FZ1720,Shoes,491,,FZ1720,Shoes,4.6,,,
H29905,Clothing,45,,H29905,Clothing,4.7,,,
FY8656,Shoes,245,,FY8656,Shoes,4.5,,,
EX6854,Accessories,76,,EX6854,Accessories,4.9,,,
EX6896,Accessories,154,,EX6896,Accessories,4.8,,,
FX6822,Shoes,1047,,FX6822,Shoes,4.5,,,
H33588,Clothing,671,,H33588,Clothing,4.8,,,
EW9826,Accessories,68,,EW9826,Accessories,4.8,,,
EW9820,Accessories,68,,EW9820,Accessories,4.8,,,
GZ5313,Shoes,1365,,GZ5313,Shoes,4.6,,,
H33587,Clothing,671,,H33587,Clothing,4.8,,,
FY2861,Shoes,1047,,FY2861,Shoes,4.5,,,
S42723,Shoes,1047,,S42723,Shoes,4.5,,,
EX4452,Clothing,165,,EX4452,Clothing,4.9,,,
EX6752,Accessories,59,,EX6752,Accessories,4.8,,,
FX6810,Shoes,1030,,FX6810,Shoes,4.5,,,
S42548,Shoes,1030,,S42548,Shoes,4.5,,,
FZ8483,Accessories,176,,FZ8483,Accessories,4.8,,,
H00237,Shoes,1095,,H00237,Shoes,4.7,,,
EX4454,Clothing,165,,EX4454,Clothing,4.9,,,
GD1521,Clothing,47,,GD1521,Clothing,4.5,,,
HG6658,Clothing,2,,HG6658,Clothing,5,,,
EX6751,Accessories,59,,EX6751,Accessories,4.8,,,
EY1067,Clothing,5,,EY1067,Clothing,4.2,,,
S42546,Shoes,1030,,S42546,Shoes,4.5,,,
FY2862,Shoes,1030,,FY2862,Shoes,4.5,,,
EY1068,Clothing,5,,EY1068,Clothing,4.2,,,
H05361,Shoes,1095,,H05361,Shoes,4.7,,,
EW9760,Accessories,18,,EW9760,Accessories,5,,,
S42545,Shoes,1030,,S42545,Shoes,4.5,,,
FZ2497,Shoes,1030,,FZ2497,Shoes,4.5,,,
FY8654,Shoes,470,,FY8654,Shoes,4.7,,,
EW9824,Accessories,68,,EW9824,Accessories,4.8,,,
EX7523,Accessories,17,,EX7523,Accessories,4.9,,,
EX6589,Accessories,5,,EX6589,Accessories,4.8,,,
EX6575,Accessories,2,,EX6575,Accessories,5,,,
EX6914,Accessories,64,,EX6914,Accessories,4.8,,,
EX6749,Accessories,59,,EX6749,Accessories,4.8,,,
GZ7767,Shoes,11750,,GZ7767,Shoes,4.7,,,
HF9214,Clothing,2,,HF9214,Clothing,3,,,
EX6915,Accessories,64,,EX6915,Accessories,4.8,,,
GY5460,Shoes,11750,,GY5460,Shoes,4.7,,,
EX6911,Accessories,64,,EX6911,Accessories,4.8,,,
GV7665,Shoes,11750,,GV7665,Shoes,4.7,,,
HG6674,Clothing,1,,HG6674,Clothing,4,,,
H34490,Clothing,1352,,H34490,Clothing,4.7,,,
H34491,Clothing,1352,,H34491,Clothing,4.7,,,
EY0319,Clothing,5,,EY0319,Clothing,4.2,,,
FR1165,Clothing,69,,FR1165,Clothing,4.7,,,
H25392,Clothing,237,,H25392,Clothing,4.8,,,
H28785,Clothing,46,,H28785,Clothing,4.5,,,
H34500,Clothing,350,,H34500,Clothing,4.7,,,
EY1066,Clothing,5,,EY1066,Clothing,4.2,,,
GT5548,Clothing,427,,GT5548,Clothing,4.7,,,
FR1167,Clothing,69,,FR1167,Clothing,4.7,,,
GT5557,Clothing,427,,GT5557,Clothing,4.7,,,
GT5551,Clothing,427,,GT5551,Clothing,4.7,,,
GJ9877,Clothing,215,,GJ9877,Clothing,4.4,,,
GS3911,Clothing,19,,GS3911,Clothing,4.9,,,
H10251,Clothing,8,,H10251,Clothing,4.8,,,
GS3883,Clothing,10,,GS3883,Clothing,4.4,,,
GS3885,Clothing,10,,GS3885,Clothing,4.4,,,
GS3881,Clothing,10,,GS3881,Clothing,4.4,,,
GS1368,Clothing,8,,GS1368,Clothing,4.8,,,
GS1352,Clothing,9,,GS1352,Clothing,4.4,,,
GS3930,Clothing,8,,GS3930,Clothing,4.5,,,
H28790,Clothing,46,,H28790,Clothing,4.5,,,
H10180,Clothing,9,,H10180,Clothing,4.4,,,
FZ2708,Shoes,11750,,FZ2708,Shoes,4.7,,,
GS3921,Clothing,6,,GS3921,Clothing,5,,,
H06746,Clothing,17,,H06746,Clothing,4.8,,,
GS3922,Clothing,6,,GS3922,Clothing,5,,,
H09422,Clothing,307,,H09422,Clothing,4.7,,,
H37790,Clothing,37,,H37790,Clothing,4.9,,,
H11363,Clothing,16,,H11363,Clothing,4.1,,,
GS6302,Clothing,43,,GS6302,Clothing,4.8,,,
H28784,Clothing,46,,H28784,Clothing,4.5,,,
GT9130,Clothing,142,,GT9130,Clothing,4.8,,,
H35596,Accessories,298,,H35596,Accessories,4.8,,,
H22747,Clothing,16,,H22747,Clothing,4.6,,,
H09150,Clothing,104,,H09150,Clothing,4.9,,,
H06656,Clothing,128,,H06656,Clothing,4.5,,,
H20476,Clothing,56,,H20476,Clothing,4.5,,,
H09423,Clothing,307,,H09423,Clothing,4.7,,,
H37793,Clothing,37,,H37793,Clothing,4.9,,,
H37881,Clothing,34,,H37881,Clothing,4.7,,,
H37813,Clothing,23,,H37813,Clothing,4.7,,,
H37812,Clothing,23,,H37812,Clothing,4.7,,,
FX4616,Shoes,111,,FX4616,Shoes,4.7,,,
GS6301,Clothing,43,,GS6301,Clothing,4.8,,,
H37866,Clothing,29,,H37866,Clothing,4.5,,,
HE7156,Clothing,18,,HE7156,Clothing,4.9,,,
H32339,Clothing,22,,H32339,Clothing,4.8,,,
H20422,Clothing,19,,H20422,Clothing,4.8,,,
H13485,Clothing,9,,H13485,Clothing,4.3,,,
H19278,Clothing,9,,H19278,Clothing,5,,,
H25275,Accessories,34,,H25275,Accessories,4.9,,,
H14656,Clothing,29,,H14656,Clothing,4.7,,,
GH6829,Clothing,4,,GH6829,Clothing,4.8,,,
H20405,Clothing,42,,H20405,Clothing,4.9,,,
H13473,Clothing,38,,H13473,Clothing,4.9,,,
H20421,Clothing,19,,H20421,Clothing,4.8,,,
GH6828,Clothing,4,,GH6828,Clothing,4.8,,,
H20301,Clothing,15,,H20301,Clothing,5,,,
H34571,Accessories,15,,H34571,Accessories,4.5,,,
H31271,Clothing,32,,H31271,Clothing,4.8,,,
H34570,Accessories,15,,H34570,Accessories,4.5,,,
GU3637,Clothing,18,,GU3637,Clothing,4.8,,,
GS7215,Clothing,2,,GS7215,Clothing,5,,,
GS7212,Clothing,2,,GS7212,Clothing,5,,,
GU1468,Clothing,4,,GU1468,Clothing,4.8,,,
GS7214,Clothing,2,,GS7214,Clothing,5,,,
H31273,Clothing,32,,H31273,Clothing,4.8,,,
CK1862,Accessories,45,,CK1862,Accessories,4.8,,,
CK1867,Accessories,45,,CK1867,Accessories,4.8,,,
H33542,Clothing,63,,H33542,Clothing,4.7,,,
H09266,Clothing,2,,H09266,Clothing,5,,,
CK1868,Accessories,45,,CK1868,Accessories,4.8,,,
H09144,Clothing,35,,H09144,Clothing,4.9,,,
CK1870,Accessories,45,,CK1870,Accessories,4.8,,,
GT6880,Clothing,74,,GT6880,Clothing,4.6,,,
CK1869,Accessories,45,,CK1869,Accessories,4.8,,,
H03941,Shoes,1841,,H03941,Shoes,4.6,,,
FX6042,Shoes,9636,,FX6042,Shoes,4.7,,,
FX6048,Shoes,9636,,FX6048,Shoes,4.7,,,
G55669,Shoes,1841,,G55669,Shoes,4.6,,,
H03924,Shoes,1841,,H03924,Shoes,4.6,,,
GX5153,Shoes,204,,GX5153,Shoes,4.5,,,
H56733,Clothing,3,,H56733,Clothing,3.7,,,
H35588,Accessories,48,,H35588,Accessories,4.6,,,
GV7377,Shoes,1841,,GV7377,Shoes,4.6,,,
H05680,Shoes,454,,H05680,Shoes,4.7,,,
GY5801,Shoes,2540,,GY5801,Shoes,4.7,,,
